Tiempo;Canal A;Canal B
(ms);(V);(V)

0,00005000;3,35947752;0,31250954
0,00645000;3,35947752;0,27344584
0,01285000;3,35947752;0,27344584
0,01925000;3,35947752;0,31250954
0,02565000;3,35947752;0,31250954
0,03205000;3,35947752;0,31250954
0,03845000;3,35947752;0,27344584
0,04485000;3,35947752;0,31250954
0,05125000;3,35947752;0,31250954
0,05765000;3,35947752;0,31250954
0,06405000;3,35947752;0,27344584
0,07045000;3,35947752;0,27344584
0,07685000;3,35947752;0,27344584
0,08325000;3,35947752;0,27344584
0,08964999;3,35947752;0,31250954
0,09604999;3,35947752;0,27344584
0,10244999;3,43760490;0,27344584
0,10884999;3,35947752;0,31250954
0,11524999;3,35947752;0,31250954
0,12164999;3,35947752;0,27344584
0,12804999;3,35947752;0,27344584
0,13444999;3,35947752;0,27344584
0,14084999;3,43760490;0,27344584
0,14724999;3,43760490;0,27344584
0,15364999;3,35947752;0,27344584
0,16004999;3,35947752;0,27344584
0,16644999;3,35947752;0,27344584
0,17284999;3,35947752;0,27344584
0,17924999;3,35947752;0,27344584
0,18564999;3,43760490;0,27344584
0,19204999;3,35947752;0,27344584
0,19844999;3,35947752;0,27344584
0,20484999;3,43760490;0,27344584
0,21124999;3,43760490;0,27344584
0,21764999;3,43760490;0,27344584
0,22404999;3,43760490;0,27344584
0,23044999;3,43760490;0,27344584
0,23684999;3,43760490;0,27344584
0,24324999;3,43760490;0,27344584
0,24964999;3,43760490;0,27344584
0,25604998;3,43760490;0,27344584
0,26244998;3,43760490;0,27344584
0,26884998;3,43760490;0,27344584
0,27524998;3,43760490;0,27344584
0,28164998;3,43760490;0,27344584
0,28804998;3,43760490;0,27344584
0,29444998;3,43760490;0,27344584
0,30084998;3,43760490;0,27344584
0,30724998;3,43760490;0,27344584
0,31364998;3,43760490;0,27344584
0,32004998;3,43760490;0,27344584
0,32644998;3,43760490;0,27344584
0,33284998;3,43760490;0,27344584
0,33924998;3,43760490;0,27344584
0,34564998;3,43760490;0,27344584
0,35204998;3,43760490;0,27344584
0,35844998;3,43760490;0,27344584
0,36484998;3,43760490;0,27344584
0,37124998;3,43760490;0,27344584
0,37764998;3,43760490;0,27344584
0,38404998;3,43760490;0,27344584
0,39044998;3,43760490;0,27344584
0,39684998;3,43760490;0,27344584
0,40324998;3,43760490;0,27344584
0,40964998;3,43760490;0,27344584
0,41604998;3,43760490;0,27344584
0,42244997;3,43760490;0,27344584
0,42884997;3,43760490;0,27344584
0,43524997;3,43760490;0,27344584
0,44164997;3,43760490;0,27344584
0,44804997;3,43760490;0,27344584
0,45444997;3,43760490;0,27344584
0,46084997;3,43760490;0,27344584
0,46724997;3,43760490;0,27344584
0,47364997;3,43760490;0,27344584
0,48004997;3,43760490;0,27344584
0,48644997;3,43760490;0,27344584
0,49284997;3,43760490;0,27344584
0,49924997;3,43760490;0,27344584
0,50564997;3,43760490;0,27344584
0,51204997;3,43760490;0,27344584
0,51844997;3,43760490;0,27344584
0,52484997;3,43760490;0,27344584
0,53124997;3,43760490;0,27344584
0,53764997;3,43760490;0,27344584
0,54404997;3,43760490;0,27344584
0,55044997;3,43760490;0,27344584
0,55684997;3,43760490;0,27344584
0,56324997;3,43760490;0,27344584
0,56964997;3,43760490;0,27344584
0,57604997;3,43760490;0,27344584
0,58244997;3,43760490;0,27344584
0,58884997;3,43760490;0,27344584
0,59524996;3,43760490;0,27344584
0,60164996;3,43760490;0,27344584
0,60804996;3,43760490;0,27344584
0,61444996;3,43760490;0,27344584
0,62084996;3,43760490;0,27344584
0,62724996;3,43760490;0,27344584
0,63364996;3,43760490;0,27344584
0,64004996;3,43760490;0,27344584
0,64644996;3,51573229;0,27344584
0,65284996;3,43760490;0,27344584
0,65924996;3,51573229;0,27344584
0,66564996;3,43760490;0,27344584
0,67204996;3,43760490;0,27344584
0,67844996;3,43760490;0,27344584
0,68484996;3,51573229;0,27344584
0,69124996;3,51573229;0,27344584
0,69764996;3,43760490;0,27344584
0,70404996;3,51573229;0,27344584
0,71044996;3,51573229;0,27344584
0,71684996;3,51573229;0,27344584
0,72324996;3,51573229;0,27344584
0,72964996;3,51573229;0,27344584
0,73604996;3,51573229;0,27344584
0,74244996;3,51573229;0,27344584
0,74884996;3,43760490;0,27344584
0,75524996;3,51573229;0,27344584
0,76164995;3,51573229;0,27344584
0,76804995;3,51573229;0,27344584
0,77444995;3,51573229;0,27344584
0,78084995;3,51573229;0,27344584
0,78724995;3,51573229;0,27344584
0,79364995;3,51573229;0,27344584
0,80004995;3,51573229;0,27344584
